bm_unit,psr_type,latitude,longitude,capacity
T_COVNB-1,Battery Storage,52.45624,-1.463476,45
T_KEMB-1,Battery Storage,51.3682748,0.7390123,43
T_KYPEW-1,Wind Onshore,55.631572,-4.069144,61.2
C__DEDGE014,Wind Onshore,53.0674178,-3.5224734,
E_BROFB-1,Battery Storage,52.082682,1.060749,
E_ILMEB-1,Battery Storage,51.746397,-0.898107,
E_JAMBB-1,Battery Storage,56.3410299,-3.3115582,
E_ARNKB-2,Battery Storage,53.7333582,-2.7740571,
T_HINB-D,Nuclear,51.2064578,-3.1323012,8
E_FARNB-1,Battery Storage,51.192155,-0.82614,
E_THMRB-1,Battery Storage,51.747296,-0.897432,49
E_PILLB-1,Battery Storage,53.796181,-0.407987,49
E_PILLB-2,Battery Storage,53.796181,-0.407987,49
E_THRNL-1,OCGT,53.6771358,-1.6568756,
E_EXETR-2,OCGT,50.708998,-3.526729,
E_SKELB-1,Battery Storage,53.563248,-2.806483,
E_BARNB-1,Battery Storage,53.548415,-1.448615,
E_TOLLB-1,Battery Storage,51.7350096,-0.2450926,
T_DBAWO-1,Wind Offshore,51.7583721,-2.7474637,
E_ROARB-1,Battery Storage,36.7242852,-81.288242,
E_PGSOUT,Fossil Gas,50.859673,-1.245042,
T_WILCT-1,Fossil Gas,54.580247,-1.094457,
T_CREAW-1,Wind Onshore,58.2103691,-4.5050491,
T_CRYRD-2,Wind Onshore,55.9145022,-2.5558471,
T_CUMHW-1,Wind Onshore,55.5719993,-3.8930225,
T_PINFB-4,Battery Storage,53.26705,-2.953955,
T_SGRWO-2,Wind Offshore,56.629795,-4.3091908,220
T_SGRWO-6,Wind Offshore,56.5206813,-2.977703,
T_TSREP-1,Biomass,54.5999362,-1.1611526,
T_WISHB-1,Battery Storage,55.77215,-3.935378,
E_GRFLB-1,Battery Storage,51.983851,-0.5024144,
E_BROAB-1,Battery Storage,51.4147723,0.3222359,10.4
C__DTGPL001,Solar PV,52.8295753,-2.807804,14.67
E_POTES-1,Battery Storage,54.977016,-1.455198,33.397
T_BURWS-1,Solar PV,52.2858122,0.3045873,49.8
E_GRGRW-1,Wind Onshore,55.885,-3.896,36
E_BURWB-1,Battery Storage,52.279627,0.314954,
E_DBFRM-1,Fossil Gas,50.863205,-1.159482,18.834
E_ARBRB-1,Battery Storage,56.565244,-2.612616,
E_CONTB-1,Battery Storage,50.9559135,-0.1632321,
E_CHTRY-1,Fossil Gas,53.0773153,-2.1773809,45.5
E_RATS-S,Fossil Hard coal,52.8541255,-1.263801,50
E_CHESP-2,Fossil Gas,53.30303484,-2.92411096,40
T_SEEL-1,OCGT,52.8072661,-0.1368242,300
