city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
London,London,51.5072,-0.1275,United Kingdom,GB,GBR,"London, City of",primary,11262000,1826645935
Birmingham,Birmingham,52.48,-1.9025,United Kingdom,GB,GBR,Birmingham,,2919600,1826423213
Portsmouth,Portsmouth,50.8058,-1.0872,United Kingdom,GB,GBR,Portsmouth,,855679,1826964096
Southampton,Southampton,50.9025,-1.4042,United Kingdom,GB,GBR,Southampton,,855569,1826602892
Leeds,Leeds,53.7975,-1.5436,United Kingdom,GB,GBR,Leeds,,789194,1826343963
Nottingham,Nottingham,52.9561,-1.1512,United Kingdom,GB,GBR,Nottingham,,729977,1826122597
Bristol,Bristol,51.4536,-2.5975,United Kingdom,GB,GBR,"Bristol, City of",,707412,1826921049
Glasgow,Glasgow,55.8611,-4.25,United Kingdom,GB,GBR,Glasgow City,,626410,1826836462
Manchester,Manchester,53.479,-2.2452,United Kingdom,GB,GBR,Manchester,,547627,1826246335
Sheffield,Sheffield,53.3808,-1.4703,United Kingdom,GB,GBR,Sheffield,,518090,1826289852
Liverpool,Liverpool,53.4094,-2.9785,United Kingdom,GB,GBR,Liverpool,,513441,1826558678
Leicester,Leicester,52.6344,-1.1319,United Kingdom,GB,GBR,Leicester,,508916,1826431946
Caerdydd,Caerdydd,51.4833,-3.1833,United Kingdom,GB,GBR,Cardiff,,488153,1826362422
Edinburgh,Edinburgh,55.9533,-3.1892,United Kingdom,GB,GBR,"Edinburgh, City of",,488050,1826492520
Worthing,Worthing,50.8147,-0.3714,United Kingdom,GB,GBR,West Sussex,,474485,1826936965
Stoke-on-Trent,Stoke-on-Trent,53,-2.1833,United Kingdom,GB,GBR,Stoke-on-Trent,,372775,1826799578
Coventry,Coventry,52.4081,-1.5106,United Kingdom,GB,GBR,Coventry,,362690,1826979198
Belfast,Belfast,54.5964,-5.93,United Kingdom,GB,GBR,Belfast,,345006,1826325087
Reading,Reading,51.4542,-0.9731,United Kingdom,GB,GBR,Reading,,337108,1826869043
Kingston upon Hull,Kingston upon Hull,53.7444,-0.3325,United Kingdom,GB,GBR,"Kingston upon Hull, City of",,314018,1826028894
Newcastle,Newcastle,54.978,-1.6102,United Kingdom,GB,GBR,Newcastle upon Tyne,,300196,1826292220
Bradford,Bradford,53.8,-1.75,United Kingdom,GB,GBR,Bradford,,293277,1826687116
Bolton,Bolton,53.578,-2.429,United Kingdom,GB,GBR,Bolton,,285372,1826628353
Sunderland,Sunderland,54.906,-1.381,United Kingdom,GB,GBR,Sunderland,,277417,1826736387
Derby,Derby,52.9247,-1.478,United Kingdom,GB,GBR,Derby,,270468,1826333435
Plymouth,Plymouth,50.3714,-4.1422,United Kingdom,GB,GBR,Plymouth,,267918,1826947183
Westminster,Westminster,51.4947,-0.1353,United Kingdom,GB,GBR,Westminster,,255324,1826759011
Wolverhampton,Wolverhampton,52.5833,-2.1333,United Kingdom,GB,GBR,Wolverhampton,,250970,1826636841
Northampton,Northampton,52.2304,-0.8938,United Kingdom,GB,GBR,Northamptonshire,,245899,1826806747
Abertawe,Abertawe,51.6167,-3.95,United Kingdom,GB,GBR,Swansea,,245508,1826574888
Barnsley,Barnsley,53.5547,-1.4791,United Kingdom,GB,GBR,Barnsley,,245199,1826597621
Swindon,Swindon,51.56,-1.78,United Kingdom,GB,GBR,Swindon,,222193,1826498106
Norwich,Norwich,52.6286,1.2928,United Kingdom,GB,GBR,Norfolk,,213166,1826688051
Luton,Luton,51.8783,-0.4147,United Kingdom,GB,GBR,Luton,,213052,1826630574
Milton Keynes,Milton Keynes,52.04,-0.76,United Kingdom,GB,GBR,Milton Keynes,,207057,1826291745
Solihull,Solihull,52.413,-1.778,United Kingdom,GB,GBR,Solihull,,206674,1826720500
Islington,Islington,51.544,-0.1027,United Kingdom,GB,GBR,Islington,,206125,1826267810
Aberdeen,Aberdeen,57.15,-2.11,United Kingdom,GB,GBR,Aberdeen City,,200680,1826324306
Peterborough,Peterborough,52.5661,-0.2364,United Kingdom,GB,GBR,Peterborough,,194000,1826626144
Croydon,Croydon,51.3727,-0.1099,United Kingdom,GB,GBR,Croydon,,192064,1826126675
Bournemouth,Bournemouth,50.72,-1.88,United Kingdom,GB,GBR,,,187503,1826769743
Basildon,Basildon,51.58,0.49,United Kingdom,GB,GBR,Essex,,185900,1826481004
Maidstone,Maidstone,51.272,0.529,United Kingdom,GB,GBR,Kent,,176700,1826000009
Ilford,Ilford,51.5575,0.0858,United Kingdom,GB,GBR,Redbridge,,168168,1826381000
Warrington,Warrington,53.39,-2.59,United Kingdom,GB,GBR,Warrington,,165456,1826261547
Huddersfield,Huddersfield,53.645,-1.7798,United Kingdom,GB,GBR,Kirklees,,162949,1826672445
Southend,Southend,51.55,0.71,United Kingdom,GB,GBR,Southend-on-Sea,,160257,1826524208
Newport,Newport,51.5886,-2.9978,United Kingdom,GB,GBR,Newport,,159600,1826018889
Enfield,Enfield,51.6522,-0.0808,United Kingdom,GB,GBR,Enfield,,156858,1826362409
Oxford,Oxford,51.75,-1.25,United Kingdom,GB,GBR,Oxfordshire,,152000,1826689568
Ipswich,Ipswich,52.0594,1.1556,United Kingdom,GB,GBR,Suffolk,,151562,1826629486
Harrow,Harrow,51.5836,-0.3464,United Kingdom,GB,GBR,Harrow,,149246,1826648099
Dundee,Dundee,56.462,-2.9707,United Kingdom,GB,GBR,Dundee City,,148280,1826581481
West Bromwich,West Bromwich,52.519,-1.995,United Kingdom,GB,GBR,Sandwell,,146386,1826231773
Gloucester,Gloucester,51.8667,-2.25,United Kingdom,GB,GBR,Gloucestershire,,145563,1826932068
Poole,Poole,50.7167,-1.9833,United Kingdom,GB,GBR,,,144800,1826379738
Birkenhead,Birkenhead,53.393,-3.014,United Kingdom,GB,GBR,Wirral,,142968,1826080662
Telford,Telford,52.6766,-2.4469,United Kingdom,GB,GBR,Telford and Wrekin,,142723,1826968934
Preston,Preston,53.83,-2.735,United Kingdom,GB,GBR,Lancashire,,141801,1826018478
York,York,53.96,-1.08,United Kingdom,GB,GBR,York,,141685,1826149980
Middlesbrough,Middlesbrough,54.5767,-1.2355,United Kingdom,GB,GBR,Redcar and Cleveland,,140545,1826407067
Blackpool,Blackpool,53.8142,-3.0503,United Kingdom,GB,GBR,Blackpool,,139305,1826093175
Stockport,Stockport,53.4083,-2.1494,United Kingdom,GB,GBR,Stockport,,137130,1826228303
Brighton,Brighton,50.8208,-0.1375,United Kingdom,GB,GBR,Brighton and Hove,,134293,1826609057
Sale,Sale,53.424,-2.322,United Kingdom,GB,GBR,Trafford,,134022,1826016049
Lincoln,Lincoln,53.2283,-0.5389,United Kingdom,GB,GBR,Lincolnshire,,130200,1826312785
Tottenham,Tottenham,51.5975,-0.0681,United Kingdom,GB,GBR,Haringey,,129237,1826538674
Exeter,Exeter,50.7256,-3.5269,United Kingdom,GB,GBR,Devon,,124180,1826840903
Cambridge,Cambridge,52.2053,0.1192,United Kingdom,GB,GBR,Cambridgeshire,,123867,1826229713
Romford,Romford,51.5768,0.1801,United Kingdom,GB,GBR,Havering,,122854,1826695421
Colchester,Colchester,51.8917,0.903,United Kingdom,GB,GBR,Essex,,121859,1826545433
High Wycombe,High Wycombe,51.6287,-0.7482,United Kingdom,GB,GBR,Buckinghamshire,,120256,1826609342
Gateshead,Gateshead,54.9556,-1.6,United Kingdom,GB,GBR,Gateshead,,120046,1826635849
Slough,Slough,51.5084,-0.5881,United Kingdom,GB,GBR,Slough,,119070,1826807636
Blackburn,Blackburn,53.748,-2.482,United Kingdom,GB,GBR,Blackburn with Darwen,,117963,1826802533
Cheltenham,Cheltenham,51.9,-2.0667,United Kingdom,GB,GBR,Gloucestershire,,116447,1826524974
Chelmsford,Chelmsford,51.73,0.48,United Kingdom,GB,GBR,Essex,,115369,1826876670
Rochdale,Rochdale,53.61,-2.16,United Kingdom,GB,GBR,Rochdale,,110194,1826578106
